"BT 服务器管理","BT 服务器管理"
"BT 管理中心","BT 管理中心"
服务器管理,服务器管理
服务器不存在,服务器不存在
"编辑 BT 服务器","编辑 BT 服务器"
"新增 BT 服务器","新增 BT 服务器"
无效的请求方法,"Invalid request method"
服务器名称不能为空,"Server name cannot be empty"
云平台不能为空,"Cloud platform cannot be empty"
外网面板地址不能为空,"External panel URL cannot be empty"
外网面板地址格式不正确,外网面板地址格式不正确
内网面板地址格式不正确,内网面板地址格式不正确
用户名不能为空,"Username cannot be empty"
密码不能为空,"Password cannot be empty"
"端口范围必须在 1 到 65535 之间","端口范围必须在 1 到 65535 之间"
服务器保存成功,"Server saved successfully"
服务器保存失败：%{1},"Server save failed: %{1}"
服务器ID不能为空,"Server ID cannot be empty"
删除失败,删除失败
服务器删除成功,"Server deleted successfully"
服务器删除失败：%{1},"Server delete failed: %{1}"
"BT 服务器健康检查","BT 服务器健康检查"
"每 10 分钟检查一次 BT 面板是否可访问，并在状态变化时发送通知。","每 10 分钟检查一次 BT 面板是否可访问，并在状态变化时发送通知。"
"BT 健康检查完成：检测 %{1} 台，可访问 %{2} 台，不可访问 %{3} 台，状态变化 %{4} 台，已通知 %{5} 次","BT 健康检查完成：检测 %{1} 台，可访问 %{2} 台，不可访问 %{3} 台，状态变化 %{4} 台，已通知 %{5} 次"
基础设施,基础设施
"BT 面板可访问性监控通知","BT 面板可访问性监控通知"
监控地址为空,监控地址为空
"curl 初始化失败","curl 初始化失败"
访问失败,访问失败
"HTTP 状态码 %{1}","HTTP 状态码 %{1}"
无响应,无响应
未命名服务器,未命名服务器
地址：%{1},地址：%{1}
"HTTP 状态：%{1}","HTTP 状态：%{1}"
无,无
"响应耗时：%{1} ms","响应耗时：%{1} ms"
错误信息：%{1},错误信息：%{1}
"BT 服务器不可访问：%{1}","BT 服务器不可访问：%{1}"
"BT 服务器已恢复：%{1}","BT 服务器已恢复：%{1}"
返回列表,"Back to List"
基础信息,基础信息
服务器名称,"Server Name"
请输入服务器名称或标识,请输入服务器名称或标识
云平台,"Cloud Platform"
请选择云平台,"Please select cloud platform"
"外网 IPv4 面板地址","外网 IPv4 面板地址"
内网面板地址,"Internal Panel URL"
用户名,Username
密码,Password
端口,Port
监控状态,监控状态
"启用 10 分钟健康检查","启用 10 分钟健康检查"
备注描述,Description
请输入备注信息,"Please enter description"
保存,Save
健康检查摘要,健康检查摘要
最后检测,最后检测
状态变化时间,状态变化时间
"HTTP 状态","HTTP 状态"
响应耗时,响应耗时
错误信息,错误信息
保存失败,保存失败
请求失败,请求失败
"BT 服务器列表","BT 服务器列表"
新增服务器,"Add Server"
"健康检查定时任务每 10 分钟执行一次，检测面板地址是否可访问。","健康检查定时任务每 10 分钟执行一次，检测面板地址是否可访问。"
全部平台,"All Platforms"
健康状态,健康状态
全部状态,全部状态
关键词,Keyword
搜索名称、地址、用户名,"Search name"
搜索,Search
重置,Reset
服务器列表,服务器列表
ID,ID
服务器,服务器
外网地址,"External URL"
监控,监控
操作,Actions
暂无服务器,"No servers"
用户：%{1},用户：%{1}
端口：%{1},端口：%{1}
已启用,已启用
已停用,已停用
HTTP：%{1},HTTP：%{1}
耗时：%{1},耗时：%{1}
变化：%{1},变化：%{1}
编辑,Edit
删除,Delete
确认删除,确认删除
确定要删除这个服务器吗？,"Are you sure you want to delete this server?"
确定删除,确定删除
取消,取消
纭畾瑕佸垹闄よ繖涓湇鍔″櫒鍚楋紵,纭畾瑕佸垹闄よ繖涓湇鍔″櫒鍚楋紵
纭鍒犻櫎,纭鍒犻櫎
纭畾鍒犻櫎,纭畾鍒犻櫎
鍙栨秷,鍙栨秷
