客服消息翻译,Kundenservice-Nachrichtenübersetzung
客服模块通过此事件请求翻译服务。事件数据包含待翻译文本、源语言、目标语言等。翻译模块可以监听此事件并提供翻译服务。,"Das Kundenservice-Modul fordert Übersetzung über dieses Ereignis an."
"Unsupported customer service provider operation: %{1}","Unsupported customer service provider operation: %{1}"
"Missing URL","Missing URL"
"Unsupported customer service admin path","Unsupported customer service admin path"
"Controller missing: %{1}","Controller missing: %{1}"
"Session and message content are required.","Session and message content are required."
"Session ID is required.","Session ID is required."
"Language code is required.","Language code is required."
"Language updated.","Language updated."
"Please enter a valid email address.","Please enter a valid email address."
"Session token is required.","Session token is required."
人机验证服务暂不可用，已切换为本地图码，请填写后重试,人机验证服务暂不可用，已切换为本地图码，请填写后重试
人机验证失败或已过期，请重试,人机验证失败或已过期，请重试
"Unable to send verification email. Please try again later.","Unable to send verification email. Please try again later."
"Verification email has been sent.","Verification email has been sent."
"Customer Service Query","Customer Service Query"
"Provides frontend customer-service chat operations through the worker API.","Provides frontend customer-service chat operations through the worker API."
客服聊天,Kundenservice-Chat
获取会话失败：%{1},"Fehler beim Abrufen der Sitzung: %{1}"
消息内容不能为空,"Nachrichteninhalt darf nicht leer sein"
无效的会话ID,"Ungültige Sitzungs-ID"
发送消息失败：%{1},"Fehler beim Senden der Nachricht: %{1}"
获取消息失败：%{1},"Fehler beim Abrufen der Nachrichten: %{1}"
语言代码不能为空,"Sprachcode darf nicht leer sein"
语言设置成功,"Sprache erfolgreich festgelegt"
设置语言失败：%{1},"Fehler beim Festlegen der Sprache: %{1}"
人机验证加载失败，请稍后重试,人机验证加载失败，请稍后重试
邮箱地址不能为空,"E-Mail-Adresse darf nicht leer sein"
邮箱格式不正确,"Ungültiges E-Mail-Format"
会话令牌不能为空,"Sitzungs-Token darf nicht leer sein"
验证邮件已发送，请查收,"Bestätigungs-E-Mail gesendet"
发送验证邮件失败，请稍后重试,"Fehler beim Senden der Bestätigungs-E-Mail"
发送验证邮件失败：%{1},"Fehler beim Senden der Bestätigungs-E-Mail: %{1}"
验证令牌不能为空,"Bestätigungs-Token darf nicht leer sein"
验证令牌无效或已过期,"Bestätigungs-Token ungültig oder abgelaufen"
邮箱绑定成功,"E-Mail erfolgreich verknüpft"
邮箱绑定失败，请稍后重试,"E-Mail-Verknüpfung fehlgeschlagen"
验证失败：%{1},"Bestätigung fehlgeschlagen: %{1}"
客服人员管理,客服人员管理
加载客服人员失败：%{1},"Fehler beim Laden der Service-Agenten: %{1}"
客服名称不能为空,"Agentenname darf nicht leer sein"
请选择后台用户,"Bitte wählen Sie einen Backend-Benutzer aus"
客服人员不存在,"Service-Agent existiert nicht"
保存成功,"Erfolgreich gespeichert"
保存失败：%{1},"Fehler beim Speichern: %{1}"
无效的客服ID,"Ungültige Agenten-ID"
"该客服仍有 %{1} 个未关闭会话，请先转让给其他客服或释放回等待池后再删除","该客服仍有 %{1} 个未关闭会话，请先转让给其他客服或释放回等待池后再删除"
删除成功,"Erfolgreich gelöscht"
"删除成功，已转让 %{1} 个会话给 %{2}","删除成功，已转让 %{1} 个会话给 %{2}"
"删除成功，已将 %{1} 个会话释放回等待池","删除成功，已将 %{1} 个会话释放回等待池"
删除失败：%{1},"Fehler beim Löschen: %{1}"
请选择源客服与目标客服,请选择源客服与目标客服
没有可转让的未关闭会话,没有可转让的未关闭会话
"已转让 %{1} 个会话给 %{2}","已转让 %{1} 个会话给 %{2}"
转让失败：%{1},转让失败：%{1}
获取成功,"Erfolgreich abgerufen"
获取统计数据失败：%{1},"Fehler beim Abrufen der Statistiken: %{1}"
客服人员,客服人员
user,user
查看客服人员,查看客服人员
保存客服人员,保存客服人员
save,save
删除客服人员,删除客服人员
trash,trash
转让客服会话,转让客服会话
share,share
将会话转让给其他客服,将会话转让给其他客服
查看客服统计,查看客服统计
chart,chart
会话管理,Sitzungsverwaltung
加载会话失败：%{1},"Fehler beim Laden der Sitzungen: %{1}"
会话不存在,"Sitzung existiert nicht"
会话详情,Sitzungsdetails
加载会话详情失败：%{1},"Fehler beim Laden der Sitzungsdetails: %{1}"
会话已关闭,"Sitzung geschlossen"
关闭会话失败：%{1},"Fehler beim Schließen der Sitzung: %{1}"
message,message
查看会话,查看会话
查看会话详情,查看会话详情
eye,eye
关闭会话,"Sitzung schließen"
close,close
客服配置,Service-Konfiguration
settings,settings
客服配置管理,客服配置管理
查看客服配置,查看客服配置
您不是客服人员，无法使用工作台,"Sie sind kein Service-Agent"
客服工作台,Kundenservice-Konsole
加载工作台失败：%{1},"Fehler beim Laden der Konsole: %{1}"
您不是客服人员,您不是客服人员
获取会话列表失败：%{1},"Fehler beim Abrufen der Sitzungsliste: %{1}"
无权访问此会话,"Keine Berechtigung für diese Sitzung"
发送成功,"Erfolgreich gesendet"
会话已被分配,"Sitzung bereits zugewiesen"
已达到最大会话数限制,"Maximale Sitzungsanzahl erreicht"
分配成功,"Erfolgreich zugewiesen"
分配会话失败：%{1},"Fehler bei der Sitzungszuweisung: %{1}"
