客服人员管理,客服人员管理
加载客服人员失败：%{1},加载客服人员失败：%{1}
无效的请求方法,无效的请求方法
客服名称不能为空,客服名称不能为空
邮箱格式不正确,邮箱格式不正确
请选择后台用户,请选择后台用户
客服人员不存在,客服人员不存在
保存成功,保存成功
保存失败：%{1},保存失败：%{1}
无效的客服ID,无效的客服ID
删除成功,删除成功
删除失败：%{1},删除失败：%{1}
获取成功,获取成功
获取统计数据失败：%{1},获取统计数据失败：%{1}
客服配置,客服配置
加载配置失败：%{1},加载配置失败：%{1}
您不是客服人员，无法使用工作台,您不是客服人员，无法使用工作台
客服工作台,"Customer Service Console"
加载工作台失败：%{1},加载工作台失败：%{1}
您不是客服人员,您不是客服人员
获取会话列表失败：%{1},获取会话列表失败：%{1}
无效的会话ID,无效的会话ID
会话不存在,会话不存在
无权访问此会话,无权访问此会话
获取消息失败：%{1},获取消息失败：%{1}
消息内容不能为空,消息内容不能为空
发送成功,发送成功
发送消息失败：%{1},发送消息失败：%{1}
会话已被分配,会话已被分配
已达到最大会话数限制,已达到最大会话数限制
分配成功,分配成功
分配会话失败：%{1},分配会话失败：%{1}
无权关闭此会话,无权关闭此会话
会话已关闭,会话已关闭
关闭会话失败：%{1},关闭会话失败：%{1}
会话管理,会话管理
加载会话失败：%{1},加载会话失败：%{1}
会话详情,会话详情
加载会话详情失败：%{1},加载会话详情失败：%{1}
邮箱地址不能为空,邮箱地址不能为空
会话令牌不能为空,会话令牌不能为空
验证邮件已发送，请查收,验证邮件已发送，请查收
发送验证邮件失败，请稍后重试,发送验证邮件失败，请稍后重试
发送验证邮件失败：%{1},发送验证邮件失败：%{1}
验证令牌不能为空,验证令牌不能为空
验证令牌无效或已过期,验证令牌无效或已过期
邮箱绑定成功,邮箱绑定成功
邮箱绑定失败，请稍后重试,邮箱绑定失败，请稍后重试
验证失败：%{1},验证失败：%{1}
客服聊天,客服聊天
获取会话失败：%{1},获取会话失败：%{1}
语言代码不能为空,语言代码不能为空
语言设置成功,语言设置成功
设置语言失败：%{1},设置语言失败：%{1}
客服消息翻译,客服消息翻译
客服模块通过此事件请求翻译服务。事件数据包含待翻译文本、源语言、目标语言等。翻译模块可以监听此事件并提供翻译服务。,客服模块通过此事件请求翻译服务。事件数据包含待翻译文本、源语言、目标语言等。翻译模块可以监听此事件并提供翻译服务。
"客服服务 - 邮箱绑定验证","客服服务 - 邮箱绑定验证"
客服系统,客服系统
客服服务,客服服务
收起,收起
欢迎使用客服服务！,欢迎使用客服服务！
请输入您的问题，我们的客服将尽快为您解答。,请输入您的问题，我们的客服将尽快为您解答。
简体中文,简体中文
English,English
输入消息...,"Type a message..."
绑定邮箱,绑定邮箱
绑定邮箱后，您可以收到客服回复的邮件通知。,绑定邮箱后，您可以收到客服回复的邮件通知。
邮箱地址,邮箱地址
请输入您的邮箱,请输入您的邮箱
取消,取消
发送验证邮件,发送验证邮件
等待中,等待中
暂无消息,暂无消息
接单,接单
暂无会话,暂无会话
会话,Session
关闭会话,关闭会话
发送,Send
发送失败,发送失败
发送失败，请稍后重试,发送失败，请稍后重试
确定要接单此会话吗？,"Are you sure you want to accept this session?"
分配失败,"Assignment failed"
分配失败，请稍后重试,分配失败，请稍后重试
确定要关闭此会话吗？,"Are you sure you want to close this session?"
请选择一个会话开始聊天,请选择一个会话开始聊天
关闭失败,"Close failed"
关闭失败，请稍后重试,关闭失败，请稍后重试
刚刚,刚刚
分钟前,分钟前
小时前,小时前
已关闭,已关闭
进行中,进行中
最快,最快
最慢,最慢
最短,最短
分钟,分钟
最长,最长
秒,秒
请输入有效的邮箱地址,请输入有效的邮箱地址
会话未初始化，请刷新页面重试,会话未初始化，请刷新页面重试
验证邮件已发送，请查收您的邮箱,验证邮件已发送，请查收您的邮箱
添加客服,添加客服
ID,ID
客服名称,客服名称
邮箱,邮箱
语言,语言
状态,状态
最大会话数,最大会话数
总会话数,总会话数
总消息数,总消息数
平均响应时间,平均响应时间
操作,操作
暂无客服人员,暂无客服人员
激活,激活
禁用,禁用
查看统计,查看统计
编辑,编辑
删除,删除
添加客服功能待实现,添加客服功能待实现
编辑客服功能待实现,编辑客服功能待实现
确定要删除此客服吗？,确定要删除此客服吗？
删除失败,删除失败
获取统计数据失败,获取统计数据失败
客服统计详情,客服统计详情
会话统计,会话统计
消息统计,消息统计
响应时间,响应时间
平均,平均
会话时长,会话时长
启用客服服务,启用客服服务
启用,启用
默认客服语言,默认客服语言
默认客户语言,默认客户语言
保存配置,保存配置
保存失败,保存失败
客服,客服
工作量统计,工作量统计
今日,今日
本周,本周
本月,本月
全部,全部
会话数,会话数
消息数,消息数
平均会话时长（分钟）,平均响应时间（分钟）
会话列表,会话列表
刷新,刷新
等待分配,等待分配
我的会话,我的会话
全部状态,全部状态
会话ID,会话ID
客户ID,客户ID
