"Payment Webhook Inbox 已接收","Payment Webhook Inbox 已接收"
"PaymentCallbackReceiver 成功写入 immutable inbox 后触发，供 Dev Relay 等扩展消费。","PaymentCallbackReceiver 成功写入 immutable inbox 后触发，供 Dev Relay 等扩展消费。"
…,…
Stripe,Stripe
"使用 Stripe Checkout 完成卡与本地支付方式。","使用 Stripe Checkout 完成卡与本地支付方式。"
"Payment amount must be greater than zero.","Payment amount must be greater than zero."
"Stripe secret key is not configured for the current environment.","Stripe secret key is not configured for the current environment."
"Currency is not supported by Stripe.","Currency is not supported by Stripe."
"Country is not supported by Stripe.","Country is not supported by Stripe."
"Redirecting to Stripe Checkout.","Redirecting to Stripe Checkout."
"Stripe Checkout Session id is missing.","Stripe Checkout Session id is missing."
"Stripe payment completed.","Stripe payment completed."
"Stripe Checkout Session expired.","Stripe Checkout Session expired."
"Stripe payment is still processing.","Stripe payment is still processing."
"Stripe payment cancelled.","Stripe payment cancelled."
"Stripe authorize is not supported in this Checkout integration.","Stripe authorize is not supported in this Checkout integration."
"Stripe capture is handled by Checkout payment mode.","Stripe capture is handled by Checkout payment mode."
"Stripe void is not supported in this Checkout integration.","Stripe void is not supported in this Checkout integration."
"Stripe refund submitted.","Stripe refund submitted."
本地测试支付,本地测试支付
仅用于本地开发验证，不会产生真实扣款。,仅用于本地开发验证，不会产生真实扣款。
"Fake payment cancelled.","Fake payment cancelled."
PayPal,PayPal
"使用 PayPal 账户或卡完成支付。","使用 PayPal 账户或卡完成支付。"
"首次使用需完成 PayPal 沙箱平台应用一次性初始化（维护者操作，商户无需手填 Client ID/Secret）。","首次使用需完成 PayPal 沙箱平台应用一次性初始化（维护者操作，商户无需手填 Client ID/Secret）。"
"PayPal credentials are not configured for the current environment.","当前环境尚未配置 PayPal 凭据。"
"Currency is not supported by PayPal.","PayPal 不支持当前货币。"
"Country is not supported by PayPal.","PayPal 不支持当前国家。"
"Redirecting to PayPal checkout.","正在跳转到 PayPal 结账页。"
"PayPal order id is missing.","缺少 PayPal 订单 ID。"
"PayPal express approved; awaiting merchant confirm.","PayPal express approved; awaiting merchant confirm."
"PayPal amount update failed: %{1}","PayPal amount update failed: %{1}"
"PayPal payment completed.","PayPal 支付已完成。"
"PayPal payment is still processing.","PayPal 支付仍在处理中。"
"PayPal payment cancelled.","PayPal 支付已取消。"
"PayPal authorize is not supported in this integration.","当前集成不支持 PayPal 预授权。"
"PayPal capture is handled during resumePayment.","PayPal 捕获在 resumePayment 阶段处理。"
